"abon_id","abon_type","date_start","date_end","contract_count","is_pay_plan","cost","paid","avg_payment"
"1","smart","2025-07-29 00:00:00","2025-10-27 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"2","smart","2025-09-29 00:00:00","2025-12-28 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"3","smart","2025-08-27 00:00:00","2025-11-25 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"4","infinity","2026-03-05 00:00:00","2026-09-01 23:59:59","1","1","180.00","360.00","90.0000000000000000"
"5","smart","2025-12-05 00:00:00","2026-03-05 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"6","light","2025-12-09 00:00:00","2026-01-08 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"7","light","2026-03-12 00:00:00","2026-04-11 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"8","light","2025-05-30 00:00:00","2025-06-29 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"9","infinity","2025-12-01 00:00:00","2026-05-30 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"10","infinity","2025-11-10 00:00:00","2026-05-09 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"11","smart","2025-12-16 00:00:00","2026-03-16 23:59:59","1","1","120.00","238.50","26.5000000000000000"
"12","smart","2026-04-11 00:00:00","2026-07-10 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"13","infinity","2025-11-11 00:00:00","2026-05-10 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"14","light","2026-04-30 00:00:00","2026-05-30 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"15","infinity","2025-08-10 00:00:00","2026-02-06 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"16","infinity","2026-04-25 00:00:00","2026-10-22 23:59:59","1","1","180.00","720.00","45.0000000000000000"
"17","smart","2026-03-10 00:00:00","2026-06-08 23:59:59","1","1","120.00","114.32","28.5800000000000000"
"18","smart","2026-02-08 00:00:00","2026-05-09 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"19","light","2025-12-17 00:00:00","2026-01-16 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"20","infinity","2025-09-14 00:00:00","2026-03-13 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"21","smart","2026-04-30 00:00:00","2026-07-29 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"22","smart","2025-05-09 00:00:00","2025-08-07 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"23","light","2025-09-08 00:00:00","2025-10-08 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"24","smart","2026-04-18 00:00:00","2026-07-17 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"25","smart","2025-06-06 00:00:00","2025-09-04 23:59:59","1","1","120.00","195.46","48.8650000000000000"
"26","infinity","2025-09-04 00:00:00","2026-03-03 23:59:59","1","1","180.00","1080.00","30.0000000000000000"
"27","smart","2025-12-17 00:00:00","2026-03-17 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"28","light","2025-10-11 00:00:00","2025-11-10 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"29","infinity","2025-05-18 00:00:00","2025-11-14 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"30","smart","2025-09-11 00:00:00","2025-12-10 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"31","light","2025-12-21 00:00:00","2026-01-20 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"32","infinity","2026-01-09 00:00:00","2026-07-08 23:59:59","1","1","180.00","1080.00","30.0000000000000000"
"33","infinity","2025-06-26 00:00:00","2025-12-23 23:59:59","1","1","180.00","1080.00","30.0000000000000000"
"34","infinity","2025-11-12 00:00:00","2026-05-11 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"35","infinity","2025-09-09 00:00:00","2026-03-08 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"36","infinity","2025-11-23 00:00:00","2026-05-22 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"37","smart","2026-05-01 00:00:00","2026-07-30 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"38","infinity","2025-10-28 00:00:00","2026-04-26 23:59:59","1","1","180.00","720.00","45.0000000000000000"
"39","light","2025-05-23 00:00:00","2025-06-22 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"40","light","2025-09-21 00:00:00","2025-10-21 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"41","smart","2025-06-27 00:00:00","2025-09-25 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"42","smart","2026-04-06 00:00:00","2026-07-05 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"43","smart","2026-04-21 00:00:00","2026-07-20 23:59:59","1","1","120.00","166.83","18.5366666666666667"
"44","smart","2026-03-26 00:00:00","2026-06-24 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"45","smart","2026-03-12 00:00:00","2026-06-10 23:59:59","1","1","120.00","240.00","60.0000000000000000"
"46","light","2026-02-12 00:00:00","2026-03-14 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"47","light","2026-03-12 00:00:00","2026-04-11 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"48","infinity","2026-01-18 00:00:00","2026-07-17 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"49","infinity","2025-12-29 00:00:00","2026-06-27 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"50","smart","2026-05-02 00:00:00","2026-07-31 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"51","light","2025-06-12 00:00:00","2025-07-12 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"52","smart","2026-04-09 00:00:00","2026-07-08 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"53","smart","2026-02-26 00:00:00","2026-05-27 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"54","smart","2025-08-17 00:00:00","2025-11-15 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"55","light","2025-05-21 00:00:00","2025-06-20 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"56","smart","2025-05-24 00:00:00","2025-08-22 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"57","infinity","2026-01-04 00:00:00","2026-07-03 23:59:59","1","1","180.00","540.00","60.0000000000000000"
"58","light","2026-01-20 00:00:00","2026-02-19 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"59","infinity","2025-09-10 00:00:00","2026-03-09 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"60","infinity","2026-02-08 00:00:00","2026-08-07 23:59:59","1","1","180.00","720.00","45.0000000000000000"
"61","light","2025-11-14 00:00:00","2025-12-14 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"62","light","2025-08-05 00:00:00","2025-09-04 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"63","infinity","2025-08-06 00:00:00","2026-02-02 23:59:59","1","1","180.00","1080.00","30.0000000000000000"
"64","light","2026-05-22 00:00:00","2026-06-21 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"65","smart","2025-12-21 00:00:00","2026-03-21 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"66","smart","2026-05-29 00:00:00","2026-08-27 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"67","infinity","2026-03-17 00:00:00","2026-09-13 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"68","infinity","2025-06-28 00:00:00","2025-12-25 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"69","light","2025-05-23 00:00:00","2025-06-22 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"70","smart","2025-11-19 00:00:00","2026-02-17 23:59:59","1","1","120.00","360.00","40.0000000000000000"
"71","light","2026-04-17 00:00:00","2026-05-17 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"72","infinity","2025-05-29 00:00:00","2025-11-25 23:59:59","1","1","180.00","720.00","45.0000000000000000"
"73","light","2026-04-19 00:00:00","2026-05-19 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"74","infinity","2025-06-16 00:00:00","2025-12-13 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"75","infinity","2026-02-04 00:00:00","2026-08-03 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"76","infinity","2026-01-11 00:00:00","2026-07-10 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"77","light","2026-03-21 00:00:00","2026-04-20 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"78","smart","2026-01-13 00:00:00","2026-04-13 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"79","smart","2026-02-07 00:00:00","2026-05-08 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"80","smart","2025-05-09 00:00:00","2025-08-07 23:59:59","1","1","120.00","236.76","26.3066666666666667"
"81","light","2025-08-19 00:00:00","2025-09-18 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"82","infinity","2026-01-05 00:00:00","2026-07-04 23:59:59","1","1","180.00","867.72","24.1033333333333333"
"83","smart","2025-09-01 00:00:00","2025-11-30 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"84","infinity","2026-01-01 00:00:00","2026-06-30 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"85","light","2025-07-29 00:00:00","2025-08-28 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"86","smart","2026-03-12 00:00:00","2026-06-10 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"87","light","2026-01-04 00:00:00","2026-02-03 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"88","infinity","2026-01-30 00:00:00","2026-07-29 23:59:59","1","1","180.00","162.96","40.7400000000000000"
"89","infinity","2025-10-26 00:00:00","2026-04-24 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"90","smart","2025-10-24 00:00:00","2026-01-22 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"91","light","2026-05-20 00:00:00","2026-06-19 23:59:59","1","1","90.00","90.00","90.0000000000000000"
"92","smart","2026-05-07 00:00:00","2026-08-05 23:59:59","1","1","120.00","120.00","120.0000000000000000"
"93","infinity","2025-11-19 00:00:00","2026-05-18 23:59:59","1","1","180.00","180.00","180.0000000000000000"
"94","infinity","2026-03-02 00:00:00","2026-08-29 23:59:59","1","1","180.00","439.14","48.7933333333333333"
